scorer,,,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali
labeled-data,_0,img088.png,617.0,303.0,742.0,310.0,879.0,314.0,988.0,310.0,1061.0,297.0,1142.0,417.0,977.0,509.0,,,892.0,561.0,,,940.0,482.0,942.0,572.0,,,735.0,520.0,,,585.0,526.0,,,651.0,476.0,641.0,549.0,,,558.0,504.0
labeled-data,_0,img089.png,617.0,303.0,742.0,310.0,880.0,314.0,989.0,310.0,1062.0,297.0,1142.0,418.0,977.0,509.0,,,892.0,561.0,,,942.0,482.0,942.0,572.0,,,735.0,520.0,,,586.0,526.0,,,652.0,476.0,641.0,549.0,,,558.0,504.0
labeled-data,_0,img090.png,618.0,303.0,743.0,310.0,880.0,314.0,990.0,311.0,1064.0,298.0,1143.0,420.0,977.0,509.0,,,892.0,561.0,,,943.0,482.0,943.0,572.0,,,736.0,520.0,,,586.0,526.0,,,652.0,476.0,641.0,549.0,,,559.0,504.0
labeled-data,_0,img091.png,618.0,303.0,744.0,310.0,881.0,314.0,992.0,312.0,1067.0,301.0,1143.0,424.0,977.0,510.0,,,893.0,561.0,,,945.0,482.0,943.0,571.0,,,736.0,520.0,,,586.0,526.0,,,653.0,476.0,641.0,549.0,,,559.0,504.0
labeled-data,_0,img092.png,619.0,303.0,744.0,310.0,881.0,314.0,995.0,314.0,1072.0,306.0,1143.0,432.0,977.0,511.0,,,893.0,561.0,,,947.0,481.0,944.0,571.0,,,737.0,520.0,,,587.0,526.0,,,653.0,476.0,642.0,549.0,,,559.0,504.0
labeled-data,_0,img093.png,620.0,303.0,745.0,310.0,882.0,314.0,999.0,316.0,1077.0,311.0,1142.0,440.0,977.0,512.0,,,893.0,561.0,,,949.0,481.0,945.0,571.0,,,738.0,520.0,,,588.0,526.0,,,654.0,476.0,642.0,549.0,,,559.0,504.0
labeled-data,_0,img094.png,621.0,303.0,746.0,310.0,883.0,314.0,1002.0,317.0,1081.0,315.0,1142.0,446.0,976.0,513.0,,,893.0,561.0,,,950.0,481.0,945.0,571.0,,,739.0,520.0,,,589.0,526.0,,,655.0,476.0,642.0,548.0,,,559.0,504.0
labeled-data,_0,img095.png,622.0,303.0,747.0,310.0,884.0,314.0,1004.0,318.0,1084.0,317.0,1143.0,449.0,977.0,513.0,,,893.0,561.0,,,952.0,480.0,945.0,571.0,,,740.0,520.0,,,590.0,526.0,,,656.0,476.0,642.0,548.0,,,559.0,504.0
labeled-data,_0,img096.png,623.0,303.0,748.0,310.0,886.0,314.0,1005.0,318.0,1085.0,317.0,1145.0,448.0,979.0,513.0,,,894.0,561.0,,,953.0,480.0,955.0,569.0,,,741.0,520.0,,,591.0,525.0,,,657.0,476.0,643.0,548.0,,,559.0,504.0
labeled-data,_0,img097.png,625.0,303.0,750.0,310.0,887.0,314.0,1006.0,318.0,1087.0,317.0,1149.0,447.0,981.0,513.0,,,896.0,560.0,,,954.0,481.0,972.0,564.0,,,743.0,520.0,,,593.0,525.0,,,658.0,476.0,643.0,548.0,,,561.0,504.0
labeled-data,_0,img098.png,627.0,303.0,752.0,310.0,889.0,314.0,1008.0,318.0,1090.0,317.0,1154.0,446.0,982.0,512.0,,,897.0,560.0,,,955.0,481.0,984.0,560.0,,,745.0,520.0,,,594.0,525.0,,,659.0,476.0,644.0,548.0,,,563.0,504.0
labeled-data,_0,img099.png,629.0,303.0,754.0,310.0,891.0,314.0,1009.0,319.0,1092.0,317.0,1159.0,444.0,984.0,512.0,,,899.0,560.0,,,956.0,482.0,990.0,559.0,,,747.0,520.0,,,596.0,524.0,,,661.0,477.0,645.0,548.0,,,565.0,503.0
labeled-data,_0,img100.png,631.0,303.0,756.0,310.0,893.0,314.0,1011.0,319.0,1095.0,316.0,1164.0,442.0,987.0,512.0,,,900.0,560.0,,,958.0,483.0,993.0,560.0,,,749.0,520.0,,,597.0,524.0,,,662.0,477.0,646.0,548.0,,,566.0,503.0
labeled-data,_0,img101.png,633.0,303.0,758.0,310.0,896.0,314.0,1014.0,320.0,1099.0,318.0,1168.0,443.0,988.0,513.0,,,900.0,560.0,,,962.0,485.0,1002.0,559.0,,,751.0,520.0,,,598.0,523.0,,,664.0,477.0,647.0,548.0,,,567.0,503.0
labeled-data,_0,img102.png,636.0,303.0,761.0,310.0,898.0,314.0,1018.0,322.0,1105.0,321.0,1172.0,446.0,990.0,513.0,,,901.0,560.0,,,969.0,488.0,1015.0,558.0,,,754.0,520.0,,,601.0,522.0,,,666.0,477.0,648.0,548.0,,,566.0,503.0
labeled-data,_0,img103.png,639.0,303.0,764.0,310.0,901.0,314.0,1024.0,324.0,1113.0,326.0,1176.0,452.0,991.0,514.0,,,902.0,559.0,,,979.0,489.0,1028.0,557.0,1023.0,647.0,757.0,520.0,,,604.0,522.0,,,668.0,477.0,649.0,548.0,,,567.0,503.0
labeled-data,_0,img104.png,643.0,303.0,768.0,310.0,905.0,314.0,1031.0,326.0,1122.0,331.0,1180.0,457.0,,,,,903.0,559.0,,,988.0,489.0,1037.0,557.0,1045.0,648.0,761.0,520.0,,,607.0,523.0,,,670.0,477.0,650.0,548.0,,,569.0,503.0
labeled-data,_0,img105.png,647.0,303.0,772.0,310.0,910.0,313.0,1039.0,327.0,1131.0,334.0,1184.0,461.0,,,,,905.0,559.0,903.0,646.0,995.0,489.0,1043.0,558.0,,,766.0,520.0,,,611.0,523.0,,,673.0,478.0,652.0,548.0,,,573.0,503.0
labeled-data,_0,img106.png,653.0,303.0,778.0,310.0,916.0,313.0,1048.0,326.0,1141.0,333.0,1188.0,462.0,,,,,907.0,559.0,,,998.0,490.0,1046.0,559.0,1059.0,652.0,771.0,520.0,,,616.0,520.0,,,677.0,478.0,655.0,547.0,,,576.0,502.0
labeled-data,_0,img107.png,659.0,302.0,784.0,309.0,922.0,313.0,1056.0,324.0,1149.0,330.0,1192.0,460.0,,,,,907.0,558.0,,,1001.0,490.0,1046.0,563.0,,,778.0,519.0,,,621.0,513.0,571.0,620.0,683.0,478.0,658.0,546.0,,,576.0,501.0
labeled-data,_0,img108.png,666.0,302.0,790.0,308.0,929.0,313.0,1061.0,322.0,1153.0,328.0,1196.0,458.0,,,,,907.0,557.0,,,1004.0,490.0,1042.0,568.0,,,785.0,517.0,,,628.0,506.0,584.0,615.0,689.0,477.0,662.0,545.0,,,575.0,500.0
labeled-data,_0,img109.png,673.0,302.0,797.0,307.0,937.0,313.0,1066.0,322.0,1156.0,327.0,1201.0,456.0,,,,,908.0,556.0,,,1007.0,489.0,1036.0,572.0,,,792.0,516.0,,,637.0,499.0,603.0,610.0,695.0,477.0,666.0,544.0,,,576.0,498.0
labeled-data,_0,img110.png,680.0,302.0,803.0,307.0,944.0,313.0,1071.0,322.0,1161.0,327.0,1206.0,455.0,,,,,909.0,556.0,,,1009.0,488.0,1036.0,573.0,,,799.0,515.0,,,650.0,496.0,629.0,609.0,699.0,478.0,669.0,544.0,,,581.0,498.0
labeled-data,_0,img111.png,687.0,303.0,810.0,307.0,950.0,314.0,1078.0,322.0,1168.0,328.0,1213.0,455.0,,,,,911.0,556.0,,,1011.0,487.0,1038.0,573.0,,,806.0,516.0,,,657.0,500.0,662.0,609.0,702.0,478.0,671.0,544.0,,,587.0,498.0
labeled-data,_0,img112.png,693.0,304.0,816.0,309.0,956.0,315.0,1084.0,324.0,1174.0,329.0,1219.0,457.0,,,,,914.0,556.0,,,1014.0,488.0,1039.0,573.0,,,812.0,517.0,,,669.0,510.0,698.0,609.0,705.0,478.0,673.0,544.0,,,592.0,499.0
labeled-data,_0,img113.png,698.0,306.0,822.0,311.0,962.0,317.0,1089.0,326.0,1179.0,331.0,1225.0,459.0,,,,,916.0,556.0,,,1017.0,488.0,1041.0,573.0,,,818.0,519.0,,,692.0,516.0,,,706.0,477.0,675.0,544.0,,,596.0,500.0
labeled-data,_0,img114.png,704.0,308.0,827.0,312.0,967.0,318.0,1095.0,327.0,1185.0,332.0,1230.0,460.0,1051.0,520.0,,,921.0,555.0,,,1021.0,489.0,1044.0,572.0,,,823.0,521.0,,,,,773.0,615.0,708.0,477.0,677.0,544.0,,,600.0,499.0
labeled-data,_0,img115.png,710.0,308.0,833.0,313.0,973.0,319.0,1101.0,328.0,1191.0,333.0,1236.0,461.0,1057.0,521.0,,,929.0,554.0,,,1025.0,488.0,1048.0,571.0,,,829.0,521.0,,,,,806.0,619.0,711.0,477.0,679.0,544.0,,,603.0,498.0
labeled-data,_0,img116.png,716.0,308.0,839.0,313.0,979.0,319.0,1106.0,327.0,1196.0,332.0,1242.0,460.0,1062.0,521.0,,,951.0,557.0,,,1029.0,487.0,1050.0,571.0,,,835.0,521.0,,,,,832.0,624.0,714.0,478.0,682.0,544.0,,,611.0,499.0
labeled-data,_0,img117.png,722.0,308.0,845.0,313.0,985.0,319.0,1111.0,327.0,1201.0,330.0,1248.0,457.0,1069.0,520.0,,,976.0,558.0,,,1034.0,486.0,1053.0,570.0,,,841.0,521.0,,,,,852.0,629.0,719.0,478.0,685.0,544.0,,,624.0,501.0
labeled-data,_0,img118.png,728.0,308.0,851.0,313.0,991.0,319.0,1117.0,326.0,1205.0,328.0,1255.0,454.0,1076.0,520.0,,,996.0,557.0,,,1039.0,486.0,1055.0,570.0,,,848.0,521.0,,,798.0,537.0,867.0,633.0,725.0,479.0,689.0,543.0,,,640.0,504.0
labeled-data,_0,img119.png,735.0,308.0,858.0,313.0,998.0,319.0,1123.0,325.0,1211.0,326.0,1262.0,452.0,1083.0,519.0,,,1010.0,556.0,,,1045.0,485.0,1058.0,570.0,,,855.0,521.0,,,808.0,542.0,879.0,637.0,730.0,479.0,692.0,543.0,,,656.0,507.0
labeled-data,_0,img120.png,743.0,308.0,866.0,313.0,1006.0,319.0,1130.0,324.0,1218.0,325.0,1269.0,451.0,1090.0,519.0,,,1021.0,555.0,953.0,612.0,1051.0,484.0,1062.0,570.0,,,862.0,521.0,,,815.0,545.0,,,735.0,479.0,695.0,542.0,,,668.0,508.0
labeled-data,_0,img121.png,751.0,308.0,874.0,313.0,1014.0,319.0,1138.0,324.0,1226.0,325.0,1277.0,451.0,1098.0,519.0,,,1037.0,551.0,968.0,607.0,1057.0,484.0,1065.0,570.0,,,871.0,521.0,,,821.0,545.0,,,739.0,479.0,698.0,542.0,,,679.0,509.0
labeled-data,_0,img122.png,760.0,308.0,883.0,313.0,1023.0,319.0,1146.0,324.0,1234.0,325.0,,,1107.0,519.0,,,1060.0,545.0,996.0,604.0,1064.0,484.0,1068.0,570.0,,,880.0,521.0,,,825.0,545.0,,,744.0,479.0,703.0,542.0,,,692.0,510.0
labeled-data,_0,img123.png,769.0,308.0,892.0,313.0,1032.0,319.0,1155.0,324.0,1243.0,325.0,,,1117.0,519.0,,,,,1030.0,602.0,1071.0,483.0,1071.0,570.0,,,889.0,521.0,,,827.0,545.0,,,750.0,479.0,710.0,543.0,,,706.0,512.0
labeled-data,_0,img124.png,778.0,308.0,901.0,313.0,1041.0,319.0,1164.0,324.0,1252.0,325.0,,,1127.0,519.0,,,,,1068.0,601.0,1079.0,483.0,1074.0,571.0,,,898.0,521.0,,,829.0,546.0,,,760.0,479.0,720.0,543.0,,,,
labeled-data,_0,img125.png,787.0,308.0,910.0,313.0,1049.0,319.0,1173.0,324.0,1261.0,325.0,,,1136.0,519.0,,,,,1103.0,601.0,1087.0,483.0,1077.0,571.0,,,907.0,521.0,,,828.0,547.0,,,774.0,479.0,733.0,542.0,,,,
labeled-data,_0,img126.png,795.0,308.0,918.0,313.0,1058.0,319.0,1181.0,324.0,1269.0,325.0,,,1146.0,519.0,,,,,,,1096.0,483.0,1079.0,571.0,,,915.0,521.0,,,829.0,546.0,,,789.0,478.0,749.0,541.0,,,,
labeled-data,_0,img127.png,803.0,308.0,926.0,313.0,1066.0,319.0,1190.0,324.0,1278.0,325.0,,,1155.0,519.0,,,,,1152.0,613.0,1104.0,483.0,1083.0,571.0,,,924.0,521.0,,,831.0,544.0,,,802.0,476.0,763.0,539.0,,,,
labeled-data,_0,img128.png,811.0,308.0,934.0,313.0,1074.0,319.0,1197.0,324.0,,,,,1164.0,519.0,,,,,1166.0,627.0,1113.0,483.0,1087.0,570.0,,,932.0,521.0,,,833.0,543.0,,,812.0,474.0,774.0,538.0,,,,
labeled-data,_0,img129.png,819.0,308.0,942.0,313.0,1082.0,319.0,1205.0,324.0,,,,,1172.0,519.0,,,,,1179.0,639.0,1121.0,483.0,1090.0,569.0,,,940.0,521.0,,,838.0,541.0,,,819.0,472.0,783.0,537.0,,,,
labeled-data,_0,img130.png,827.0,308.0,950.0,313.0,1090.0,319.0,1213.0,324.0,,,,,1180.0,519.0,,,1155.0,560.0,1188.0,645.0,1129.0,483.0,1091.0,568.0,,,948.0,521.0,,,844.0,539.0,,,827.0,471.0,790.0,536.0,745.0,647.0,,
labeled-data,_0,img131.png,836.0,308.0,959.0,312.0,1098.0,319.0,1222.0,325.0,,,,,1187.0,519.0,,,1161.0,560.0,,,1135.0,484.0,1091.0,567.0,,,955.0,520.0,,,848.0,537.0,,,842.0,470.0,802.0,532.0,765.0,644.0,,
labeled-data,_0,img132.png,843.0,306.0,967.0,311.0,1107.0,318.0,1232.0,326.0,,,,,1192.0,520.0,,,1163.0,560.0,,,1138.0,484.0,1092.0,566.0,,,963.0,518.0,,,852.0,536.0,,,864.0,469.0,820.0,527.0,799.0,641.0,,
labeled-data,_0,img133.png,851.0,305.0,976.0,309.0,1116.0,318.0,1242.0,329.0,,,,,1197.0,521.0,,,1164.0,560.0,,,1140.0,484.0,1096.0,566.0,,,969.0,516.0,,,855.0,534.0,,,886.0,469.0,842.0,525.0,842.0,639.0,808.0,512.0
labeled-data,_0,img134.png,860.0,304.0,985.0,307.0,1125.0,317.0,1252.0,331.0,,,,,1202.0,521.0,,,1164.0,560.0,,,1143.0,484.0,1107.0,568.0,,,977.0,515.0,,,859.0,533.0,,,907.0,468.0,867.0,527.0,888.0,639.0,813.0,511.0
labeled-data,_0,img135.png,868.0,303.0,994.0,307.0,1134.0,317.0,1261.0,331.0,,,,,1209.0,521.0,,,1163.0,559.0,,,1151.0,485.0,1124.0,570.0,,,985.0,514.0,,,,,,,926.0,469.0,894.0,532.0,932.0,640.0,816.0,511.0
labeled-data,_0,img136.png,877.0,303.0,1003.0,307.0,1143.0,317.0,1270.0,332.0,,,,,1217.0,521.0,,,1164.0,559.0,,,1161.0,486.0,1146.0,572.0,,,994.0,514.0,,,,,,,942.0,469.0,920.0,537.0,970.0,643.0,819.0,510.0
labeled-data,_0,img137.png,887.0,303.0,1012.0,307.0,1152.0,317.0,1279.0,332.0,,,,,1225.0,521.0,,,1165.0,559.0,,,1171.0,487.0,1169.0,572.0,,,,,880.0,458.0,,,,,955.0,470.0,943.0,541.0,1000.0,647.0,824.0,509.0
labeled-data,_0,img138.png,896.0,303.0,1021.0,307.0,1162.0,317.0,,,,,,,1234.0,521.0,,,1166.0,559.0,,,1181.0,488.0,1189.0,570.0,1121.0,635.0,1013.0,514.0,,,,,,,965.0,472.0,963.0,545.0,1024.0,651.0,829.0,508.0
labeled-data,_0,img139.png,905.0,303.0,1031.0,307.0,1171.0,317.0,,,,,,,1243.0,521.0,,,1169.0,559.0,,,1191.0,488.0,1206.0,568.0,1134.0,628.0,1023.0,514.0,895.0,460.0,877.0,531.0,,,974.0,475.0,979.0,549.0,1043.0,655.0,836.0,508.0
labeled-data,_0,img140.png,915.0,303.0,,,,,,,,,,,,,,,1171.0,558.0,,,1202.0,488.0,1220.0,565.0,1145.0,622.0,1032.0,514.0,903.0,461.0,883.0,530.0,,,984.0,477.0,991.0,551.0,1055.0,657.0,842.0,507.0
labeled-data,_0,img141.png,925.0,303.0,1050.0,307.0,1191.0,317.0,,,,,,,1263.0,519.0,,,,,,,1219.0,489.0,1243.0,564.0,1165.0,616.0,1043.0,515.0,911.0,462.0,888.0,530.0,,,993.0,477.0,999.0,551.0,1062.0,658.0,850.0,507.0
labeled-data,_0,img142.png,936.0,303.0,1060.0,309.0,1201.0,317.0,,,,,,,1275.0,517.0,,,,,,,1248.0,490.0,1276.0,563.0,1198.0,612.0,1054.0,517.0,919.0,463.0,894.0,530.0,,,1002.0,477.0,1002.0,551.0,1062.0,658.0,,
labeled-data,_0,img143.png,947.0,303.0,1070.0,311.0,1210.0,318.0,,,,,,,,,,,1177.0,557.0,,,1280.0,488.0,,,1234.0,609.0,1065.0,520.0,926.0,464.0,899.0,530.0,,,1010.0,478.0,1002.0,551.0,,,864.0,505.0
labeled-data,_0,img144.png,957.0,303.0,1080.0,314.0,1220.0,319.0,,,,,,,,,,,1179.0,556.0,,,,,,,1267.0,608.0,1076.0,523.0,932.0,465.0,903.0,531.0,,,1016.0,479.0,1000.0,550.0,1053.0,658.0,,
labeled-data,_0,img145.png,967.0,304.0,1089.0,315.0,1229.0,320.0,,,,,,,,,,,1182.0,556.0,,,,,,,,,1085.0,526.0,937.0,466.0,906.0,531.0,,,1022.0,481.0,999.0,549.0,,,875.0,503.0
labeled-data,_0,img146.png,976.0,305.0,1098.0,316.0,1238.0,321.0,,,,,,,,,,,1183.0,555.0,,,,,,,,,1094.0,527.0,941.0,467.0,909.0,531.0,,,1028.0,482.0,1000.0,549.0,1045.0,658.0,,
labeled-data,_0,img147.png,984.0,306.0,1106.0,317.0,1247.0,322.0,,,,,,,,,,,1185.0,555.0,,,,,,,,,1102.0,529.0,948.0,467.0,914.0,530.0,,,1033.0,482.0,1002.0,548.0,1044.0,658.0,,
labeled-data,_0,img148.png,992.0,306.0,1115.0,318.0,1255.0,322.0,,,,,,,,,,,1187.0,554.0,,,,,,,,,1111.0,529.0,956.0,467.0,921.0,529.0,,,1038.0,482.0,1006.0,547.0,,,,
labeled-data,_0,img149.png,1000.0,307.0,1123.0,318.0,,,,,,,,,,,,,1189.0,553.0,,,,,,,,,1119.0,529.0,966.0,467.0,930.0,527.0,,,1044.0,482.0,1010.0,547.0,1047.0,658.0,,
labeled-data,_0,img150.png,1008.0,307.0,1131.0,318.0,1271.0,323.0,,,,,,,,,,,1191.0,553.0,,,,,,,,,1127.0,529.0,978.0,466.0,940.0,526.0,899.0,635.0,1050.0,482.0,1015.0,546.0,,,,
labeled-data,_0,img151.png,1017.0,307.0,1139.0,318.0,1279.0,323.0,,,,,,,,,,,1193.0,553.0,,,,,,,,,1135.0,528.0,990.0,466.0,952.0,524.0,,,1058.0,482.0,1020.0,545.0,,,936.0,509.0
labeled-data,_0,img152.png,1025.0,307.0,1147.0,319.0,,,,,,,,,,,,,1197.0,554.0,,,,,,,,,1142.0,527.0,1003.0,465.0,965.0,521.0,,,1066.0,482.0,1027.0,543.0,,,949.0,510.0
labeled-data,_0,img153.png,1034.0,307.0,1156.0,319.0,,,,,,,,,,,,,1202.0,555.0,,,,,,,,,1150.0,527.0,1018.0,464.0,980.0,519.0,,,1075.0,482.0,1034.0,542.0,,,962.0,511.0
labeled-data,_0,img154.png,1042.0,307.0,1165.0,320.0,,,,,,,,,,,,,1206.0,556.0,,,,,,,,,1159.0,526.0,1035.0,462.0,998.0,517.0,980.0,629.0,1083.0,482.0,1041.0,541.0,,,974.0,511.0
labeled-data,_0,img155.png,1052.0,307.0,1175.0,320.0,,,,,,,,,,,,,1210.0,555.0,,,,,,,,,1168.0,526.0,1055.0,458.0,1022.0,516.0,1016.0,627.0,1091.0,482.0,1048.0,540.0,,,984.0,511.0
labeled-data,_0,img156.png,1061.0,307.0,1184.0,320.0,,,,,,,,,,,,,1214.0,552.0,,,,,,,,,1177.0,526.0,,,1050.0,513.0,1058.0,624.0,1098.0,482.0,1053.0,539.0,1048.0,656.0,,
labeled-data,_0,img157.png,1071.0,307.0,,,,,,,,,,,,,,,1218.0,550.0,,,,,,,,,1187.0,526.0,,,1076.0,512.0,1100.0,620.0,1102.0,481.0,1057.0,539.0,,,1004.0,510.0
labeled-data,_0,img158.png,1080.0,306.0,1203.0,320.0,,,,,,,,,,,,,1224.0,546.0,,,,,,,,,1196.0,526.0,,,,,,,1104.0,478.0,1061.0,538.0,,,1014.0,510.0
labeled-data,_0,img159.png,1090.0,306.0,1212.0,320.0,,,,,,,,,,,,,1232.0,543.0,,,,,,,,,1206.0,526.0,,,,,1167.0,616.0,1106.0,476.0,1063.0,537.0,,,1024.0,509.0
labeled-data,_0,img160.png,1098.0,306.0,1221.0,320.0,,,,,,,,,,,,,1247.0,542.0,,,,,,,,,1214.0,526.0,,,,,1183.0,617.0,1107.0,473.0,1066.0,536.0,,,1034.0,509.0
labeled-data,_0,img161.png,1105.0,308.0,1228.0,320.0,,,,,,,,,,,,,1277.0,547.0,,,,,,,,,1225.0,527.0,,,,,1190.0,619.0,1110.0,472.0,1070.0,535.0,1050.0,654.0,,
labeled-data,_0,img162.png,1111.0,311.0,1235.0,320.0,,,,,,,,,,,,,,,,,,,,,,,1240.0,528.0,,,1141.0,528.0,1196.0,622.0,1117.0,473.0,1075.0,535.0,,,1050.0,516.0
labeled-data,_0,img163.png,1116.0,315.0,1241.0,321.0,,,,,,,,,,,,,,,,,,,,,,,1256.0,529.0,,,1146.0,533.0,1202.0,626.0,1125.0,475.0,1081.0,536.0,,,1055.0,522.0
labeled-data,_0,img164.png,1121.0,319.0,1247.0,321.0,,,,,,,,,,,,,,,,,,,,,,,1270.0,530.0,,,1151.0,537.0,,,1132.0,477.0,1087.0,536.0,,,1059.0,526.0
labeled-data,_0,img165.png,1126.0,321.0,1253.0,322.0,,,,,,,,,,,,,,,,,,,,,,,1280.0,531.0,,,1156.0,539.0,,,1138.0,479.0,1091.0,537.0,,,1062.0,529.0
labeled-data,_0,img166.png,1133.0,322.0,1259.0,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.0,539.0,,,1141.0,479.0,1093.0,537.0,,,1066.0,529.0
labeled-data,_0,img167.png,1139.0,322.0,1266.0,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1164.0,538.0,,,1142.0,480.0,1095.0,539.0,,,1070.0,529.0
labeled-data,_0,img168.png,1146.0,321.0,1273.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.0,537.0,,,1144.0,480.0,1098.0,541.0,,,1075.0,528.0
labeled-data,_0,img169.png,1153.0,321.0,1280.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1167.0,536.0,,,1148.0,480.0,1104.0,542.0,,,1081.0,527.0
labeled-data,_0,img170.png,1161.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168.0,535.0,,,1158.0,480.0,1114.0,543.0,,,1088.0,527.0
labeled-data,_0,img171.png,1168.0,321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168.0,534.0,,,1172.0,481.0,1127.0,542.0,1074.0,655.0,,
labeled-data,_0,img172.png,1176.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1169.0,533.0,,,1188.0,482.0,1140.0,540.0,,,1097.0,525.0
labeled-data,_0,img173.png,1184.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171.0,531.0,,,1202.0,484.0,1151.0,538.0,,,1101.0,523.0
labeled-data,_0,img174.png,1193.0,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174.0,529.0,,,1214.0,485.0,1159.0,535.0,1109.0,645.0,1105.0,521.0
labeled-data,_0,img175.png,1201.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1177.0,528.0,,,1224.0,484.0,1166.0,531.0,1122.0,641.0,1112.0,520.0
labeled-data,_0,img176.png,1210.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.0,526.0,,,1235.0,481.0,1176.0,526.0,1143.0,638.0,1121.0,518.0
labeled-data,_0,img177.png,1219.0,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,476.0,1191.0,520.0,1173.0,634.0,1130.0,515.0
labeled-data,_0,img178.png,1229.0,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.0,470.0,1209.0,517.0,1210.0,632.0,1140.0,512.0
labeled-data,_0,img179.png,1238.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.0,465.0,1230.0,518.0,1251.0,630.0,1150.0,510.0
labeled-data,_0,img180.png,1247.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.0,521.0,,,1159.0,509.0
labeled-data,_0,img181.png,1255.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.0,523.0,,,1169.0,509.0
labeled-data,_0,img182.png,1263.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.0,523.0,,,,,,,,,1179.0,510.0
labeled-data,_0,img183.png,1271.0,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.0,460.0,1210.0,523.0,,,,,,,,,1190.0,511.0
labeled-data,_0,img184.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1243.0,461.0,1213.0,523.0,,,,,,,,,1200.0,512.0
labeled-data,_0,img185.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.0,461.0,1216.0,524.0,,,,,,,,,1210.0,512.0
labeled-data,_0,img186.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.0,461.0,1221.0,524.0,,,,,,,,,1218.0,512.0
labeled-data,_0,img187.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.0,462.0,1226.0,524.0,,,,,,,,,1227.0,512.0
labeled-data,_0,img188.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.0,462.0,1232.0,524.0,,,,,,,,,1234.0,513.0
labeled-data,_0,img189.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.0,462.0,1237.0,524.0,,,,,,,,,1241.0,513.0
labeled-data,_0,img190.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275.0,462.0,1242.0,522.0,,,,,,,,,,
labeled-data,_0,img191.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.0,519.0,,,,,,,,,,
labeled-data,_0,img192.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.0,516.0,,,,,,,,,,
labeled-data,_0,img193.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.0,513.0,,,,,,,,,,
labeled-data,_0,img194.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269.0,511.0,,,,,,,,,,
labeled-data,_0,img195.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274.0,510.0,,,,,,,,,,
labeled-data,_0,img196.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,_0,img197.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,_0,img198.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,_0,img199.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,_0,img200.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
